1g,1g,1g,1g,1g,1g,1g,1g
1g,1g,1g,1s,1s,1g,1g,1g
1g,1g,1g,1s,1s,1g,1g,1g
1g,1g,1g,1g,1g,1g,1g,1g
2g,2g,2g,2g,3g,3g,3g,3g
2g,2g,2g,2g,3g,3g,3g,3g
2g,2g,2g,2g,3g,3g,3g,3g
4g,4g,4g,4g,4g,4g,4g,4g
4g,4g,4g,4g,4g,4g,4g,4g
4g,4g,4g,4g,4g,4g,4g,4g
4g,4g,4g,4g,4g,4g,4g,4g
0s,0s,0s,0s,0s,0s,0s,0s
0s,0s,0s,0s,0s,0s,0s,0s
0s,0s,0s,0s,0s,0s,0s,0s
0s,0s,0s,0s,0s,0s,0s,0s
4g,4g,4g,4g,4g,4g,4g,4g
4g,4g,4g,4g,4g,4g,4g,4g
4g,4g,4g,4g,4g,4g,4g,4g
5g,5g,4g,4g,4g,4g,4g,4g
5g,5g,4g,4g,4g,4g,4g,4g
6g,6g,4g,4g,4g,4g,4g,4g
6g,6g,4g,4g,4g,4g,7g,7g
7g,7g,4g,4g,4g,4g,7g,7g
7g,7g,4g,4g,4g,4g,7g,7g
7g,7g,4g,4g,4g,4g,7g,7g
